review	aspect	sentiment
Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.	BBQ Salmon	1
Love Al Di La	Al Di La	1
Great food.	food	1
The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.	pastas	1
The food here was mediocre at best. 	food	-1
It was totally overpriced- fish and chips was about $15.... 	fish and chips	-1
Tasty Dog!	Dog	1
The Cypriot restaurant has a lot going for it.	Cypriot restaurant	1
But the best pork souvlaki I ever had is the main thing.	pork souvlaki	1
Super YUMMY Pizza!	Pizza	1
I was visiting New York City with a friend and we discovered this really warm and inviting restaurant.	restaurant	1
I LOOOVE their eggplant pizza, as well as their pastas!	eggplant pizza	1
We had half/half pizza, mine was eggplant and my friend had the buffalo and it was sooo huge for a small size pizza!	half/half pizza	1
Excellent food, although the interior could use some help.	food	1
The space kind of feels like an Alice in Wonderland setting, without it trying to be that.	space	-1
Reliable, Fresh Sushi	Sushi	1
The sashimi is always fresh and the rolls are innovative and delicious.	sashimi	1
Have never had a problem with service save a missing rice once.	service	1
Delivery can be spot on or lacking depending on the weather and the day of the week.	Delivery	-1
Best. Sushi. Ever.	Sushi	1
This place has ruined me for neighborhood sushi.	sushi	1
Excellent sashimi, and the millennium roll is beyond delicious.	sashimi	1
not only is the food	food	1
The waiter was attentive, the food was delicious and the views of the city were great.	waiter	1
Great place to relax and enjoy your dinner	place	1
There is something about their atmosphere that makes me come back nearly every week.	atmosphere	1
Place is open till late, no dress code.	Place	1
Good food: my favorite is the seafood spaghetti.	food	1
Excellent food for great prices	food	1
The wait staff is very courteous and accomodating.	wait staff	1
The space is limited so be prepared to wait up to 45 minutes - 1 hour, but be richly rewarded when you savor the delicious indo-chinese food.	space	1
my favorite place lol	place	1
i love their chicken pasta cant remember the name but is sooo good	chicken pasta	1
im not necessarily fanatical about this place, but it was a fun time for low pirces.	place	1
its just a fun place to go, not a five star restaraunt.	restaraunt	0
I think the pizza is so overrated and was under cooked.	pizza	-1
Had no flavor and the staff is rude and not attentive.	staff	-1
I love this place	place	1
The service was quick and friendly.	service	1
I ordered the vitello alla marsala and I was pretty impressed.	vitello alla marsala	1
The veal and the mushrooms were cooked perfectly.	veal	1
The potato balls were not dry at all... in fact it was buttery.	potato balls	1
WORST PLACE ON SMITH STREET IN BROOKLYN	PLACE	-1
Very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.	bartender	-1
I would never recommend this place to anybody even for a casual dinner.	place	-1
the food is always fresh ...	food	1
overpriced japanese food with mediocre service	japanese food	0
Chicken teriyaki had tomato or pimentos on top??	Chicken teriyaki	-1
food was luke warm.	food	-1
The waitress was not attentive at all.	waitress	-1
I was looking for banana tempura for dessert and they dont have.	dessert	-1
"Not because you are ""The Four Seasons""...  you are allowed to charge an arm and a leg for a romatic dinner."	The Four Seasons	-1
The food was excellent as well as service, however, I left The Four Seasons very dissappointed.	food	1
I do not think dinner in Manhattan should cost $400.00 where I am not swept off my feet.	dinner	-1
Just go to Yamato and order the Red Dragon Roll.	Yamato	1
The Seafood Dynamite is also otherworldly.	Seafood Dynamite	1
Favorite Sushi in NYC	Sushi	1
An unpretentious spot in Park Slope, the sushi is consistently good, the service is pleasant, effective and unassuming.	spot	1
In the summer months, the back garden area is really nice.	back garden area	1
The rolls are creative and I have yet to find another sushi place that serves up more inventive yet delicious japanese food.	rolls	1
I CAN EAT HERE EVERY DAY OF THE WEEK REALLY LOL LOVE THIS PLACE ...)	PLACE	1
Gross food  Wow-	food	-1
I can't remember the last time I had such gross food in New York.	food	-1
My quesadilla tasted like it had been made by a three-year old with no sense of proportion or flavor.	quesadilla	-1
And $11 for a plate of bland guacamole?	guacamole	-1
Don't get me started on the margaritas, either.	margaritas	-1
Oh, and I never write reviews--I just was so moved by how bad this place was, I felt it was my duty to spread the word.	place	-1
Great Indian Food!	Indian Food	1
The food was good, the place was clean and affordable.	food	1
I noticed alot of indian people eatting there which is a great sign for an indian place!	indian place	1
This is one of my favorite spot, very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .	food	1
The staff is very good.	staff	1
Love their drink menu.	drink menu	1
I highly recommend this beautiful place.	place	1
Food was OK.	Food	0
Nice view of river and NYC.	view of river and NYC	1
Great survice	survice	1
A beautifully designed dreamy Egyptian restaurant that gets sceney at night.	Egyptian restaurant	1
Watch the talented belly dancers as you enjoy delicious baba ganoush that's more lemony than smoky.	belly dancers	1
Oh, and there's hookah.	hookah	1
Raymond the bartender rocks!	Raymond	1
Pacifico is a great place to casually hang out.	Pacifico	1
The drinks are great, especially when made by Raymond.	drinks	1
The omlette for brunch is great...	omlette for brunch	1
the spinach is fresh, definately not frozen...	spinach	1
quacamole at pacifico is yummy, as are the wings with chimmichuri.	quacamole	1
A weakness is the chicken in the salads.	chicken in the salads	-1
Overall, decent food at a good price, with friendly people.	food	1
Best Indian Restaurant in the City	Indian Restaurant	1
Decor needs to be upgraded but the food is amazing!	Decor	1
This small Astoria souvlaki spot makes what many consider the best gyros in New York.	gyros	1
What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro meat and sausages), and made of much higher quality ingredients that might otherwise be expected.	food	1
All the various Greek and Cypriot dishes are excellent, but the gyro is the reason to come--if you don't eat one your trip was wasted.	Greek and Cypriot dishes	1
Best restaurant in Brooklyn	restaurant	1
Great food, amazing service, this place is a class act.	food	1
This place is a must visit!	place	1
The food is all shared so we get to order together and eat together.	food	1
I've enjoyed 99% of the dishes we've ordered with the only exceptions being the occasional too-authentic-for-me dish (I'm a daring eater but not THAT daring).	dishes	1
My daughter's wedding reception at Water's Edge received the highest compliments from our guests.	Water's Edge	1
Everyone raved about the atmosphere (elegant rooms and absolutely incomparable views) and the fabulous food!	atmosphere	1
Service was wonderful;	Service	1
Paul, the maitre d', was totally professional and always on top of things.	Paul	1
Thank you everyone at Water's Edge.	Water's Edge	1
Service ok but unfriendly,filthy bathroom.	Service	-1
The high prices you're going to pay is for the view not for the food.	view	0
The bar drinks were Eh, ok to say the least.	bar drinks	-1
The stuff tilapia was horrid...tasted like cardboard.	stuff tilapia	-1
We thought the dessert would be better, Wrong!	dessert	-1
oh speaking of bathroom , the mens bathroom was disgusting.	mens bathroom	-1
The wine list was extensive - though the staff did not seem knowledgeable about wine pairings.	wine list	1
"The bread we received was horrible - rock hard and cold - and the ""free"" appetizer of olives was disappointing."	bread	-1
However, our main course was wonderful.	main course	1
I had fish and my husband had the filet - both of which exceeded our expectations.	fish	1
The dessert (we had a pear torte) was good - but, once again, the staff was unable to provide appropriate drink suggestions.	pear torte	1
When we inquired about ports - the waitress listed off several but did not know taste variations or cost.	waitress	-1
Not what I would expect for the price and prestige of this location.	location	0
All in all, I would return - as it was a beautiful restaurant - but I hope the staff pays more attention to the little details in the future.	restaurant	1
short and sweet  seating is great:it's romantic,cozy and private.	seating	1
The boths are not as small as some of the reviews make them out to look they're perfect for 2 people.	boths	1
The food was ok and fair nothing to go crazy.	food	0
So what you really end up paying for is the restaurant not the food.	restaurant	-1
Subtle food and service	food	1
Noodle pudding is exactly the type of service and food I enjoy.	service	1
Servers are all different, Greg is my favorite.	Greg	1
This is the first place I've been that a runner remembers my order... hope he likes his job because I have half a mind to steal him for my restaurant.	runner	1
Prices are fair across the board for both food and bev.	food	1
I go out to eat and like my courses, servers are patient and never rush courses or force another drink.	servers	1
amazing fresh dogs but best of all endless toppings!!!	dogs	1
this place had ALL the trimmings and i mean all.	trimmings	1
amazing fun for hot dog lovers of all ages PLEASE do yourself a favor and check this place out!!!!	hot dog	1
Stepping into Casa La Femme last night was a true experience unlike any other in New York!	Casa La Femme	1
The have a great cocktail with Citrus Vodka and lemon and lime juice and mint leaves that is to die for!	cocktail with Citrus Vodka and lemon and lime juice and mint leaves	1
Food took some time to prepare, all worth waiting for.	Food	1
We were drawn into the belly dancing show that captivated the crowd.	belly dancing show	1
I never write on these sites but this restaurant is def worth commending!	restaurant	1
Maggot in the food!	food	-1
Nevertheless, I finished my plate, and that's when I found a maggot in mushroom sauce at the bottom.	mushroom sauce	-1
I showed it to the manager, and he smilingly apologized and brought us two free desserts (but did not ask us what we wanted and so brought the last two desserts we would have asked for).	manager	1
I have worked in restaurants and cook a lot, and there is no way a maggot should be able to get into well prepared food.	food	-1
For a restaurant with such a good reputation and that is usually so packed, there was no reason for such a lack of intelligent customer service.	restaurant	1
I got hair in my food 2 times of then !	food	-1
Great place, great value.	place	1
The atmosphere is relaxed and casual.	atmosphere	1
It's a great place to order from or sit-in.	place	1
Sushi experience was unbelievable with my fiance.	Sushi	1
Good creative rolls!	rolls	1
Yamato is an excellent place to go if youre not into sashimi, or if you have friends who doesnt like sushi much.	Yamato	1
They have great rolls, the triple color and norwegetan rolls, are awesome and filling.	rolls	1
One special roll and one regular roll is enough to fill you up, but save room for dessert!	special roll	1
They have a delicious banana chocolate dessert, as well as a great green tea tempura.	banana chocolate dessert	1
The appetizers are also delicious!	appetizers	1
Amazing food.	food	1
Mazing interior.	interior	-1
Great food!	food	1
I've had my fair share of modern Japanese and this spot delivers.	modern Japanese	1
The atmosphere was pretty nice but had a bit lacking, which it tries to make up for with a crazy scheme of mirrors.	atmosphere	-1
Despite the confusing mirrors this will likely be my go-to for modern Japanese food for the foreseeable future.	mirrors	1
Indo Chinese food, pretty good...	Indo Chinese food	1
Not a very fancy place but very good Chinese style Indian food.	place	1
The chicken lollipop is my favorite, most of the dishes (I have to agree with a previous reviewer) are quite oily and very spicy, espeically the Chilli Chicken.	chicken lollipop	1
My mom originally introduced me to this place, but even she (being Indian) feels the food can be somewhat over the top spicy and far too oily.	food	-1
I was speechless by the horrible food.	food	-1
I attended a holiday dinner at the restaurant, and the food was majorly disappointing.	food	-1
Rather than preparing vegetarian dish, the chef presented me with a plate of steamed vegetables (minus sauce, seasoning, or any form or aesthetic presentation).	vegetarian dish	-1
This place survives on reputation alone.	place	-1
This is the MOST wonderful restaurant in all of New York City, not just Brooklyn...	restaurant	1
for 7 years they have put out the most tasty, most delicious food and kept it that way...	food	1
great food, great wine list, great service in a great neighborhood...	food	1
Hands down the best pizza on the planet.	pizza	1
great hot dogs..	hot dogs	1
the hot dogs were juicy and tender inside and had plenty of crunch and snap on the outside.	hot dogs	1
great toppings definitely a place you need to check out for late night munchies or a mid day boost!	toppings	1
For me dishes a little oily, but overall dining experience good.	dishes	-1
Helpful service and average price per dish $10.	service	1
The only thing that strikes you is the decor?(not very pleasant).	decor	-1
great food	food	1
Be prepared to wait, because the place is pretty tiny.	place	-1
Even though the place is not beautiful, the food speaks for itself.	place	1
Best Indian Chinese in the city, by far!	Indian Chinese	1
I came across Village Underground by accident, now I go there all the time.	Village Underground	1
THE SERVICE IS AMAZING, i've had different waiters and they were all nice, which is a rare thing in NYC.	SERVICE	1
The DJ is awesome, I have been there for my birthday and a bunch of other times with friends and I keep going back.	DJ	1
Everything on the menu is great. 	menu	1
This establishment is the real deal. 	establishment	1
Wish NY had more of these kind of places: intimate, superb food, homey, top notch all the way around, certainly worth the wait.	food	1
But $500 for a dinner for two that didn't include Wine?	dinner for two	-1
Look, the appetizers were really good.	appetizers	1
The entree was also very good.	entree	1
What you are paying for is the environment and the name.	environment	0
Yes, the place is classy and beautiful, but they most certainly target the uber whealthy Not the common joe that wants to go all out every once in a while.	place	1
Vanison was good but not amazing.	Vanison	0
Dessert: pure disaster.	Dessert	-1
I read reviews that called the restaurant too expensive and I thought to myself, but may be it is worth it.	restaurant	-1
"The Four Seasons has history and it is a sort of landmark of New York City restaurants, but trust me, they will charge you through the nose just so that you can say ""I've been to the four seasons restaurant""."	The Four Seasons	0
All in all, the food was great (except for the dessserts).	food	1
The environment is very upscale and you will see a lot of rich guys with trophy wives or just highly paid escorts.	environment	0
If you are going for the food, it will not be worth it.	food	-1
You would think they would make up for it with service, sadly, no.	service	-1
Service was just ok, it is not what you'd expect for $500.	Service	-1
I agree that dining at Casa La Femme is like no other dining experience!	Casa La Femme	-1
I literally just got back home after visiting Casa La Femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time.	Casa La Femme	-1
We did arrive late for our reservation so I can not complain too much about the wait for a table.	wait	0
The place is beautiful!	place	1
The hostess was very pleasant.	hostess	1
However, our $14 drinks were were horrible!	drinks	-1
We also asked for Hooka six times and the waiter kept telling us one minute and never returning with the Hooka.	waiter	-1
After the 4th time i asked again and the waiter than said after our dinner.	waiter	-1
We asked for sides which the waiter than admitted that he forgot to put in that part of our order.	waiter	-1
My chicken was inedible as there were so many fatty lumps which i had to keep spitting out into my napkin.	chicken	-1
I would not expect this for a $55 dinner.	dinner	-1
By the time we left our wallets were empy and so were our stomachs AND we missed the show we were supposed to see following our dinner, which would have been acceptable if we got to enjoy the experience of good food and belly dancers!	food	-1
If it seemed possible to do so while there I would have fought my bill since my dinner portion of my meal was inedible!	meal	-1
I have never left a restaurant feeling as if i was abused, and wasted my hard earned money.	restaurant	-1
The menu is fairly simple without much descriptions. 	menu	0
There was no tap beer that evening, which was a disappointment. 	beer	-1
Not much of a selection of bottled beer either, we went with Brahma. 	selection of bottled beer	-1
The appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion (maybe 3 of each). 	fried oysters and clams	1
The lobster knuckles (special of the day) were ok, but pretty tasteless.	lobster knuckles	0
"I believe there were 2 shrimp in the ""salt encrusted shrimp"" appetizer. "	"""salt encrusted shrimp"" appetizer"	-1
I had the Thai style Fried Sea Bass...which was very good. 	Thai style Fried Sea Bass	1
Everyone seemed generally happy with their food, except my brother who had the grilled Mahi Mahi, seemingly drenched in Grapfruit Juice! 	food	1
I heard the lobster roll was excellent. 	lobster roll	1
All in all the food was good - a little on the expensive side, but fresh. 	food	1
"Service not the friendliest to our ""large party""! "	Service	-1
Great Indian food	Indian food	1
Food was amazing - I love Indian food and eat it quite regularly, but I can say this is one of the best I've had.	Food	1
"Very ""normal Indian food"", but done really well."	Indian food	0
I have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which I would expect at a upscale Indian restaurant but this place doesn't have an upscale feel.	chicken tikka masala	1
Also, waiters try to push more food on you, like suggest things as if they are complimentary when they actually cost $.	waiters	-1
"Bukhara Grill, the tagline says it all.. ""INDIAN SPICE RAVE"""	Bukhara Grill	1
The lunch buffet is expensive but is deff worth it.	lunch buffet	-1
We have gone for dinner only a few times but the same great quality and service is given.	dinner	1
Bukhara is on my top 5 Indian places in NYC	Bukhara	1
I have never been so disgusted by both food an service.	food	-1
My main concern was the sanity of the food that was being sent out to myself and others, but I would be lying is I said that as someone who has worked in restaurants since the age of fifteen I was expecting at least a minimal effort on the part of the restaurant to amend the situation.	food	-1
My girlfriend, being slightly more aggressive, and having been equally disgusted causing her to throw out the remainder of her barely eaten meal, called back only to be informed that I was probably wrong and that it was most likely an oyster, and that we were also blacklisted from their restaurant.	meal	-1
It wasn't as if this restaurant had any major bragging points before hand, but now it's simply repulsive.	restaurant	-1
Gorgeous place ideal for a romantic dinner	place	1
I completely recommend Casa La Femme for any special occasion and to REALLY impress your date.	Casa La Femme	1
The bibimbap was average, but the stone bowl wasn't even close to sizzling.	bibimbap	0
Too bad I had paid an extra $2 for the stone bowl.	stone bowl	-1
The nakgi-bokum was horrible.	nakgi-bokum	-1
Easily the worst stir-fried squid I've ever tasted.	stir-fried squid	-1
The sauce tasted more like Chinese fast food than decent Korean.	sauce	-1
The real problem I had with this place was the complete lack of service.	service	-1
My wife had barely touched that mess of a dish.	dish	-1
The farro salad and the mashed yukon potatoes were also extremely tasty.	farro salad	1
i love margherita pizza  i looove east village pizza	margherita pizza	1
Love this place, every time we are in the city this is one of the places we always go.	place	1
A quintessential slice of NYC pizza.	slice of NYC pizza	0
The crust has a great bite and a good chew, the sauce is light with a nice acidity to it, the salt from the cheese is great, really heightens the flavor of all the other components.	crust	1
Personally I like the margherita pizza better, but they are all good.	margherita pizza	1
Possibly the Most Romantic Restaurant in the City	Restaurant	1
This is undoubtedly my favorite modern Japanese brasserie (that don't serve sushi), and in my opinion, one of the most romantic restaurants in the city!	modern Japanese brasserie	1
Not only is it an adventure getting to this somewhat hidden spot, once you enter the unmarked wooden doors, the zen and intimate decor will make you feel like you're no longer in the city.	spot	1
If you're planning to come here, make sure that your date is someone whom you really like since you'll be ushered to private booths where there will be no people or food watching (choose the ones on the ground level that have glass ceilings so you may see the stars in the sky!).	private booths	1
It's just you and your date and an occasional cute excuse me' before the waiter opens the little curtain to your booth!	waiter	1
My party had the BBE $29 fixe prix menu, which was such a wonderful deal since it also came with a flight of sake!	BBE $29 fixe prix menu	1
I picked the Grilled Black Cod as my entree, which I absolutely devoured while someone commented that the Grilled Salmon dish was better.	Grilled Black Cod	1
The sake's complimented the courses very well and is successfully easing me into the sake world.	sake's	1
For desserts, we tried the frozen black sesame mousse (interesting but not extraordinary) and matcha (powdered green tea) and blueberry cheesecake, which was phenomenal.	frozen black sesame mousse	1
Maybe it was the great company (I had friends visiting from Philly  yes, it was not a date this time) or the super reasonable price point, but I just can't say enough good things about this brasserie.	brasserie	1
I don't usually visit the same establishment more than once, what more twice, but I'll come to Zenkichi anytime for a quiet, unhurried and memorable dinner.	Zenkichi	1
The service leaves much to be desired, from feeling like you are rushed the place your order, to being ignored the rest of the night.	service	-1
They are extremely rude, not even apologizing for the horrible service we got and handing us a bill well over $500 for some drinks adn their pita bread!	service	-1
Great Shabu Shabu	Shabu Shabu	1
I tried a couple other dishes but wasn't too impressed.	dishes	0
But for the Shabu Shabu, you won't find much better in NY.	Shabu Shabu	1
Dokebi gives Williamsburg the right one-two punch of classic Korean food and fusion twists like pork belly tacos.	Korean food	1
Restaurant with a view	view	0
The food tasted very good.	food	1
The main entree was also very good.	main entree	1
Price is high but the food is good, so I would come back again.	food	1
This place doesn't make any sense	place	-1
This place has totally weird decor, stairs going up with mirrored walls - I am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional...	decor	-1
This place is not inviting and the food is totally weird.	place	-1
The concept of japanese tapas is newly created and clearly doesn't work.	japanese tapas	-1
Good Food	Food	1
The food was great and tasty, but the sitting space was too small, I don't like being cramp in a corner.	food	1
Over all it was a very nice romantic place .	place	1
The food we ordered was excellent, although I wouldn't say the margaritas were anything to write home about.	food	1
Our waitress wasn't mean, but not especially warm or attentive either.	waitress	0
I must say I am surprised by the bad reviews of the restaurant earlier in the year, though.	restaurant	1
Regardless, we'll be back and can't wait to visit in the summer to take advantage of the patio.	patio	1
The servers at Flatbush Farm appear to have perfected that ghastly technique of making you feel guilty and ashamed for deigning to attract their attention.	servers	-1
A different server enhanced the fun, dumping our entrees in front of us halfway through our appetizer (which was delicious).	server	1
How is this palce still open?	palce	-1
I took one look at the chicken and I was appalled.	chicken	-1
It was served with skin, over a bed of extremely undercooked spinach and mashed potatoes.	spinach	-1
I took one bite from the $24 salmon, and I have never, in the 17 years I have been going to restaurants tasted salmon as fishy, as dry, and as bland as the one in Flatbush Farms.	salmon	-1
At this point, the waitress comes over and asks us if everything was okay, I was literally so shocked that I was speechless and didn't say anything, and guess what, the waitress WALKED away.	waitress	-1
So, I switch with my boyfriend again to see if maybe I could stomach the meat and spinach again, but the spinach was so undercooked that I just could not bite through it.	spinach	-1
This is where it really really gets bad: the manager said, there is absolutely nothing we can do, it's a matter of taste that she didn't like it, and I cannot comp it.	manager	-1
The manager came to the table and said we can do what we want, so we paid for what we did enjoy, the drinks and appetizers, and walked out.	manager	1
THIS STAFF SHOULD BE FIRED.	STAFF	-1
cirspy crust margherita pizza	margherita pizza	1
it was really good pizza.	pizza	1
the crust was imazingly cooked well and pizza was fully loaded:):):)	crust	1
Single Worst Restaurant in Manhattan	Restaurant	-1
I'll being with a couple of positives: cool decor, good pita and hummus, and grilled octopus that was actually pretty tasty.	decor	1
If I could give 0 stars I would do so for this place.	place	-1
This place...god where do i begin.	place	-1
It is quite a spectacular scene i'll give them that.	scene	1
The decor however seems to be the distraction so you won't notice that you just payed 300 bucks for some cold eggplant that took 2 FRICKIN HOURS TO COME!!!!	decor	0
How this place survives the competitive west village market in this economy, or any other for that matter, is beyond me.	place	-1
Great Hot Dogs!	Hot Dogs	1
The hot dogs are top notch, and they're Slamwich is amazing!	hot dogs	1
Going to Bark is always worth the train ride, and will make your tongue and belly very happy!	Bark	1
Only complaint is the pricing--I believe it would be more reasonable to pay a dollar less on each item listed on the menu.	menu	-1
But nonetheless--great spot, great food.	spot	1
Fabulous food - if the front of house staff don't put you off  	food	1
Each time we've been, the front of house staff (not the waiters - they're fantastic - but the people who greet and seat you) has been so hideous to us that were it not for the exceptional fish dishes I would never return. 	front of house staff	1
As BFC doesn't take reservations you almost always have to wait by the bar - and be abused by the front of house staff until you are seated, which can be over an hour later!	BFC	-1
The frizzy retro girl (with winged/ Dame Edna glasses) will yell at you if you try to order a drink. 	girl	-1
I'd be horrified if my staff were turning away customers so early and so rudely!	staff	-1
"There's another girl who I can't describe, she is about 5'6"" with brown hair, who eavesdrops on your conversation and chimes in - except she only hears the last part of what you said, so her uninvited opinions are often out of context and nothing to do with what you're *really* talking about. "	girl	-1
Considering you will spend at least $60 a head, I expect better service. 	service	-1
"Maitre-D-""Eat and get out"""	Maitre-D	-1
The food and service were fine, however the maitre-D was incredibly unwelcoming and arrogant.	food	1
While finishing our meals which included a high-end bottle of wine, our son's fiance joined us for a glass of wine and dessert.	bottle of wine	1
This guy refused to seat her and she left, followed shortly by the four of us, but not before I told him that in my 40 years of world travel, including Paris, that I had never seen such a display of bad behavior by a frontman in a restaurant.	frontman	-1
"A word to the wise: you can't dine here and disturb the maitre-D's sense of "" table turnover"", as whacked as it is, or else."	maitre-D	-1
Best meal in a long time!	meal	1
Mussles and calamari were superb Saturday evening.	Mussles	1
I had the Lamb special which was perfect.	Lamb special	1
My father had the flank steak which was very good, and my mother had the swordfish.	flank steak	1
The Four Seasons restaurant is a great experience.	The Four Seasons restaurant	1
The food is great and the environment is even better.	food	1
Taking Hot Dogs to the next level	Hot Dogs	1
At first glance this place seems a bit pricey for a hot dog joint, but at Bark you don't just get your average hot dog.	hot dog	1
Great Atmosphere	Atmosphere	1
I highly recommend the fish tacos, everything else was ok.	fish tacos	1
Cool atmosphere, the fire place in the back really ads to it but needs a bit more heat throughout on a cold night.	atmosphere	1
Poor service and management	service	-1
Don't go to this place!	place	-1
Had an awful experience at Casa la Femme on a Saturday dinner.	Casa la Femme	-1
The manager was rude and handled the situation extremely poorly.	manager	-1
Can't believe how an expensive NYC restaurant can be so disrespectful to its clients.	restaurant	-1
The food is very good, but not outstanding.	food	0
There is no way it justifies the accolades it receives, the attitude of the staff or the wait for a table.	staff	-1
Mistakes happen, but they are usually accompanied by an apology, perhaps even a glass of wine...but not the grunt that we received from the Al Di La staff.	staff	-1
The bread was stale, the salad was overpriced and empty.	bread	-1
The pasta was well cooked, didn't have enough sauce though or flavor.	pasta	1
The hostess was rude and I got a distinct feeling that they did not want to serve us.	hostess	-1
The only thing that my friend left out is that when we sat down at the bar the bartender disappeared.	bartender	-1
I asked for a menu and the same waitress looked at my like I was insane.	waitress	-1
"I was shocked that my friends wanted to stay after the waitress said, ""can I help you"" and ""how many are in your party."""	waitress	-1
Shame on this place for the horrible rude staff and non-existent customer service.	staff	-1
bad staff	staff	-1
I generally like this place.	place	1
The food is good.	food	1
But the service is HORRID!	service	-1
I was there for brunch recently, and we were tag teamed by a waitress and a waiter.	waitress	-1
The waiter delivered our food while holding what appeared to be a plastic bag of garbage in one hand.	waiter	-1
The waitress came to check in on us every few minutes, and began to clear the plates while half of us were still eating (a big pet peeve of mine that happens almost everywhere, so I try to ignore it).	waitress	-1
I wish I could like this place more, and I wish someone would retrain the staff.	place	-1
